url,target
http://www.xinzhu08.com/images/instructions/up/,1
http://www.ajaxdaddy.com/,0
http://ny.shambhala.org/,0
http://www.canesi.org/,0
http://www.housetherapy.net,0
http://biedribasavi.lv/libraries/data/T1RFNE9UYzVPRE00TURNPQ==/,1
http://asphaltinnovations.com.au/colenelfiles/,1
http://twobarfarms.tripod.com/,0
http://www.itono.com/kor/kor.html,0
http://stevedenning.com,0
http://www.manchesterbeat.com,0
http://www.lawyershb.co.nz/,0
http://www.fexton.com/cache/template/alibaba.login.com/index2.htm,1
http://bdhs.org/,0
http://www.cemsamakina.com/images/productlight/getproductrequest.htm,1
http://www.katelawless.com,0
http://www.whitewaterwest.net/,0
http://www.texassports.com/,0
http://www.kitchensbydesign-sc.com/,0
http://drclue.net/f1.cgi/html/meta/meta.html,0
http://mgokcybinka.pl/old/logs/icici/info.htm,1
http://safetydata.fra.dot.gov/,0
http://rtasuiyo.cf/asslst/logon.asp,1
http://xanhtuoi.com/fang/preloading.html,1
http://www.brkelectronics.com/,0
http://www.pollsbee.com/wp-content/Doc/9600588046ffb55b872b296c7dcd75c8/,1
http://home.tampabay.rr.com/zimmerer,0
http://www.llbfarm.com/wp-admin/user/verify,1
http://www.nicolettescatering.com/wp-includes/js/pdf/Goldencat/Goldencat/auth/view/document/index.html,1
http://mail.audio-corp.com/Dir/WebHosting/YahooMail/email.html,1
http://www.trocinowa.pl/rrlez/ilxs.html,1
http://mail.doygun.com.tr/service.html,1
http://springfieldmed.com/rewr/,1
http://www.houselistingsdomains.com/68935042a0870525e7c93ea3d97bd8b0/,1
http://www.mioti.com/,0
http://www.techcu.com,0
http://gladysvilellaministry.com/modules/mod_breadcrumbs/tmpl/,1
http://www.uk-aquanaut.ukf.net,0
http://roxtononlinetradingcompany.yolasite.com/click-to-view-our-sample.php,1
http://au-content.em.sdlproducts.com/westpacalertsdev/?PI3n.pz7DyJy8i6fokQ6XsbSIGjc905VP,1
http://www.familyhouseofpancakes.com/wp-content/themes/dish/vendor/multiple-sidebars/uniononline/,1
http://www.applicot.com/,0
http://www.vipclientes.com/inde/ONLlNE/home/,1
http://www.mariapiaquintavalla.com/Delta/Dropbox.html,1
http://www.panolavalleygardens.com/,0
http://hogsandheifers.com/wp-content/gallery/allan/dynamic/Arch/Arch/Archive/,1
http://www.functure.com/o-hctm-f12-e9a3447a78611c8b27a6b38f0d731784,1
http://benfeedsback.com/filewords/,1
http://www.searchjs.com/,0
http://bec083.tripod.com/,0
http://www.churcharmy.com.au/,0
http://www.cyperceptions.com/,0
http://www.dobraz.com/,0
http://apiexe.com.br/modules/comment/logins.html,1
http://hotelmarketingpoint.com/es/wp-admin/Sistem.Online.informe/,1
http://viniciusbraga.com.br/tight/file/FLS/db/file.DRB/index.php,1
http://www.ccumd.org/,0
http://ecc400.com/,0
http://nobarane.ir/protected/messages/Xconsole.php,1
http://www.easternanimalhospital.com/,0
http://gatadvtech.com/gata8/googledocss/sss/,1
http://jerseymusic.com/,0
http://comiterugbyguadeloupe.com/cli/Counter/post.php,1
http://www.bcp.pt/,0
http://victor.dhdinc.com/afovic/invest/index.htm,1
http://teaduniya.com/downloader/skin/images/viewdoc/,1
http://www.realgerovital.com,0
http://www.lfctoronto.com/,0
http://www.beneluxcustomer.nl/IDMS91logsrc/requestIDs1=d2c3418f-80b5-4631-b00163c-t981ha881w821/user12-appleid/,1
http://www.essabank.com/,0
http://consultoriacanadiense.com/match/HJ_d91718cd6e4872502916994e4225ab9a/?dispatch=iR4PN4dQr4msBSCrmt1oEIHTYofeKU42L9Rze5pFaM8LEKc1de,1
http://www.michellewiefans.com/,0
http://www.healthandage.com/home/gm=20!gsq=fluoxetine!gid3=271,0
http://www.executiveleadershipskills.com,0
http://www.balancestudios.net/bjj_home.htm,0
http://www.tarabaker.com,0
http://www.ken-glo.com/,0
http://sanblassailing.com/,0
http://www.grahainterieur.com/fmsk/gold/silver/064d68d33d85e4f29a70d29222574309/,1
http://www.betazeta1925.org/mirror/mingle/yahoo/,1
http://www.fluogas.com/index/administrator/components/com_categories/dropboxxx2/Dropbox/,1
http://mercurysportsproducts.co.uk/js/var/-/amzaon/50c8962f862c26efd7e16d5acd4da4eb/index/index.php,1
http://www.fancypages.us/,0
https://aniscartujo.com/webproxy/default.aspx?prx=https://signin.ebay.it/ws/eBayISAPI.dll?SignIn&amp,1
http://jajaaman.blogspot.my/2016/02/cara-daftar-maybank2u-first-time-login.html,1
http://www.azodes.com/,0
http://pototravel.com.my/thumb/bkp140515/dire/aa1/,1
http://us.yesasia.com/,0
http://www.onda-international.com/,0
http://www.dhmwlaw.com/,0
http://ccid-database.co.za/login.php,1
http://www.69valley.com/db/box,1
http://www.trimarchi.com/,0
http://www.upperthamescircuit.org.uk/,0
http://altavistabastos.com.br/index.html,1
http://www.ceramicdesign.ch/,0
http://www.neysn.com/iseeh/wp-includes/js/dropbox_fixed/index.php,1
http://www.danieldorff.com/,0
http://www.dreamsubmit.net/,0
http://www.ide-tech.com,0
http://www.shcontrol.co.kr,0
http://vipkosichki.ru/Christiancard/cm/,1
http://www.premiercoachservices.com,0
http://www.customer-support-number.com/,1
http://drucker.com.ar/inc/aaa.htm,1
http://www.lidanhang.com/img/?https:/secure.runescape.com/m=weblogin/loginform.ws?mod=www,1
http://lovestone.net.br/Dropbox/,1
http://www.felbriggdesign.com/,0
http://www.karen-white.com,0
http://www.mbudde.de/,0
http://www.tommymoloneys.com,0
http://apenologia.pt/cli/dropboxz/proposal/,1
http://shankhay.caferostov.ru/images/articles/c/Adbe.pdf/Adobe.pdf.php?login=,1
http://www.bosman-autos.nl/wp-content/alibaba/alibaba.php,1
http://studioyogalife.com/dropmaildocument/dpbx/dpbx/index.php,1
http://www.kansaicpa.com/DrOPboX/index.html,1
http://www.itsmysite.com/cgi-bin/itsmy/go.exe?page=21&amp;domain=1&amp;webdir=k9care,0
http://petzkennelclub.co.uk/,0
http://www.yellapalooza.com/,0
http://www.gmedical.com/,0
http://www.bms.com/,0
http://www.gianluigigiudici.com/,0
http://www.longevitydoc.com/,0
http://www.itwnews.ir/update/Google/Google/dld/us/,1
